sub,amg_hipp,amg_vmpfc,amg_SnM,amgM,trial,condition
sub-205,0.6302322976150907,0.9110573234643999,0.5164065524363083,-0.9150379825,32,CSplus2
sub-205,0.5933809391258547,0.37625791385092233,0.2912626496300092,-0.16928560425,33,CSminus2
sub-205,0.769802777106762,0.6678776376223821,0.7929973361190987,0.05404061750000003,34,CSminusUS2
sub-205,0.7697982416245871,0.9446442309272488,0.3465697111081575,-0.57192964,35,CSplus2
sub-205,0.0872625282924042,-0.5187818151271844,-0.3311024944939992,-0.005932618749999993,36,CSminus2
sub-205,0.41169493360159976,0.5067634307412064,0.8286403737966729,0.26571904725,37,CSplus2
sub-205,0.7004335280102582,0.6122185867413208,-0.5101729074559722,0.34375173875000004,38,CSminus2
sub-205,0.8347711135984616,0.5695246220962007,0.7304070990250321,0.11690666249999998,39,CSminus2
sub-205,0.420197082794333,0.5164286513702423,0.27865967497554295,-0.190215801625,40,CSplus2
sub-205,0.6410393050934883,0.530948509100469,0.34119109113605267,-0.022077426287500007,41,CSminusUS2
sub-205,0.5914833657524088,-0.3214064813307326,0.08147166994968368,0.261938498625,42,CSminus2
sub-205,0.315924358217917,0.0347156116132764,0.18843056452772272,0.044269324375,43,CSplus2
sub-205,0.8031340494309571,0.5252756567321675,0.9048177094111048,0.009227145624999988,44,CSminusUS2
sub-205,0.41819745101216615,0.18675278415629476,0.8973696849238118,-0.373475080875,45,CSminus2
sub-205,0.8677072777197837,0.3772488737192182,0.24430666256294428,0.0006533830000000074,46,CSplus2
sub-205,0.7265088936022421,0.0408686566737146,0.7246700768055869,-0.166261521875,47,CSplus2
sub-205,0.5015024633338382,0.0017369256395553395,0.21105747973553055,-0.489255794625,48,CSminus2
sub-205,0.8587542108187951,0.3932115146617816,-0.4248175585861433,0.279456179375,49,CSplus2
sub-205,0.6882413765400998,0.40292596552792526,0.7330658414028145,-0.00015133625000000872,50,CSminusUS2
sub-205,0.8705242618144599,0.42810266837292255,0.9585909646998516,0.493346543025,51,CSminus2
sub-205,0.8434277581202478,0.7111283574925045,0.6051713976128857,0.28178739337500003,52,CSplus2
sub-205,0.5912171309317101,0.1444475170654367,0.329570294027591,0.12995273674999996,53,CSminus2
sub-205,0.7785205675479173,0.9653299930140038,0.6867360284802041,0.05555420775,54,CSminus2
sub-205,0.47430066759029077,0.3515105697415967,0.2780732532124538,-0.081601995,55,CSplus2
sub-205,-0.07228634721496807,0.5362707858659106,0.4243456296080792,0.009831653499999989,56,CSminusUS2
sub-205,0.6584875088629558,-0.04032990134964341,0.4932665841627546,-0.304622654625,57,CSplus2
sub-205,0.9667995220940934,0.3182801304020411,0.6555676867185354,0.17597384,58,CSminus2
sub-205,0.686050907462646,0.4930936173593868,-0.14887375378057016,0.11743738125,59,CSplus2
sub-205,0.45095362706377295,0.5115759786406059,0.6811157858553021,0.13292379112500002,60,CSminus2
sub-205,0.5217924145617794,0.16717622444625857,0.6733480008750494,-0.14744851375,61,CSminusUS2
sub-205,0.7863615298104882,-0.034187073546899344,0.6178498710554202,-0.13132364625000004,62,CSplus2
sub-205,0.22183655321801934,0.048511827747509575,0.6448130688594859,0.49930812874999997,63,CSplus2
sub-205,0.8709990863951969,0.613286356135705,0.8368696424059405,-0.37324289037499997,64,CSminus2
sub-205,0.4463683472850745,0.7371820201886669,-0.1939034171754761,-0.145890040375,65,CSminus2
sub-205,0.7984403870852967,0.693079426383987,0.8930672504008972,0.24497102375,66,CSplus2
sub-205,-0.04038095813951031,-0.04928315061709687,0.698434299331538,-0.05123369124999999,67,CSminus2
sub-205,0.15053590077604112,0.2873720870492155,0.4642214132016948,0.189187652125,68,CSplus2
sub-205,0.4805257790760083,0.7502280725640197,0.6932789883695187,-0.38871962750000005,69,CSminus2
