sub,Condition,Event.Nr,CDA.AmpSum,expected_value,pe,scr
sub-205,CSplus2,55,0.0,0.04332316088760662,-0.053849483808378604,0.0
sub-205,CSminusUS2,56,2.913,0.3873313537878332,0.7837641818346842,2.913
sub-205,CSplus2,57,0.0357,0.03772283334985417,-0.047156088265213295,0.0357
sub-205,CSminus2,58,0.0129,0.30890334071847353,-0.3641013723068057,0.0129
sub-205,CSplus2,59,0.0517,0.03296341140283758,-0.041446836635271836,0.0517
sub-205,CSminus2,60,0.0777,0.24915502278490936,-0.2939645429902082,0.0777
sub-205,CSminusUS2,61,3.442,0.40750946365962143,0.7601356014459036,3.442
sub-205,CSplus2,62,0.0104,0.028902080830394385,-0.03655639332977526,0.0104
sub-205,CSplus2,63,0.0143,0.02542304939495903,-0.03235058952743053,0.0143
sub-205,CSminus2,64,0.0277,0.32465912224264964,-0.3825144280835812,0.0277
sub-205,CSminus2,65,0.0319,0.2616014469722605,-0.3084960634909572,0.0319
sub-205,CSplus2,66,0.1539,0.02243191007823354,-0.028719910811404584,0.1539
sub-205,CSminus2,67,0.1204,0.21284705450134356,-0.25145915346963404,0.1204
sub-205,CSplus2,68,0.0,0.019851290287290338,-0.025574479445927556,0.0
sub-205,CSminus2,69,0.2571,0.17465883729605558,-0.20686095575556018,0.2571
sub-071,CSplusUS1,1,3.3306,0.6699283905526605,0.5,3.3306
sub-071,CSminus1,2,1.9463,0.4854430900552292,-0.5,1.9463
sub-071,CSplus1,3,1.7824,0.5605155376091964,-0.5765704156877421,1.7824
sub-071,CSplusUS1,4,1.5981,0.6564503008580206,0.5137811734468213,1.5981
sub-071,CSminus1,5,0.4503,0.41037064250126404,-0.4234295843122589,0.4503
sub-071,CSplus1,6,0.6562,0.549816528199631,-0.565667756441881,0.6562
sub-071,CSplus1,7,1.0047,0.46339082507448975,-0.4775014141527311,1.0047
sub-071,CSminus1,8,1.5727,0.34877628464194,-0.3606403420713411,1.5727
sub-071,CSplusUS1,9,1.0864,0.5772284601543145,0.5945068507879733,1.0864
sub-071,CSminus1,10,0.0712,0.2978809361921808,-0.30875375907628416,0.0712
sub-071,CSplusUS1,11,0.2831,0.6691924637071919,0.5006568542122274,0.2831
sub-071,CSplus1,12,0.4279,0.5596648879160931,-0.5757536634335141,0.4279
sub-071,CSminus1,13,0.1423,0.2555597630285134,-0.2655845884816742,0.1423
sub-071,CSplus1,14,0.3161,0.4710901566260148,-0.48535319657095116,0.3161
sub-071,CSminus1,15,0.3998,0.22016706329966496,-0.22944919374143355,0.3998
sub-071,CSminus1,16,0.3269,0.19041420482483853,-0.19903441425979687,0.3269
sub-071,CSplus1,17,0.168,0.39882188429845733,-0.41167272462497556,0.168
sub-071,CSplusUS1,18,0.227,0.5238883365498899,0.6488880806737322,0.227
sub-071,CSminus1,19,0.1377,0.165282532017861,-0.17330527042388355,0.1377
sub-071,CSplus1,20,0.0,0.4403607608012888,-0.45410836192649284,0.0
sub-071,CSplus1,21,0.1233,0.37243832100803576,-0.3847544610141273,0.1233
sub-071,CSminus1,22,0.0,0.14396003697752144,-0.1514385537120412,0.0
sub-071,CSplus1,23,0.0122,0.3167317808383506,-0.3279136630424419,0.0122
sub-071,CSplusUS1,24,0.175,0.45519014546475073,0.7190503265562141,0.175
sub-071,CSminus1,25,0.0,0.1257945784973837,-0.132774177650258,0.0
sub-071,CSplus1,26,0.0111,0.38257101249739656,-0.39501220773132606,0.0111
sub-071,CSminus1,27,0.0968,0.11025885680802396,-0.1167790000676363,0.0968
sub-071,CSplus1,28,0.4706,0.32359268021568716,-0.3347285739800598,0.4706
sub-071,CSplus1,29,0.0,0.275263449241754,-0.28536959609152157,0.0
sub-071,CSminus1,30,0.4895,0.09692388129032388,-0.10301957015158625,0.4895
sub-071,CSminusUS2,31,0.1609,0.2699239637310163,0.9088586344287732,0.1609
sub-071,CSplus2,32,0.0899,0.23535471871730793,-0.24461292633833,0.0899
sub-071,CSminus2,33,0.0273,0.2256594243662982,-0.23399364639321366,0.0273
sub-071,CSminusUS2,34,0.2096,0.3745869192472571,0.8025086230292994,0.2096
sub-071,CSplus2,35,0.0612,0.2021755007429384,-0.2107118974943568,0.0612
sub-071,CSminus2,36,0.0744,0.3113713084274838,-0.3210354038637643,0.0744
sub-071,CSplus2,37,0.0273,0.1744235799187034,-0.18232990373397662,0.0273
sub-071,CSminus2,38,0.4848,0.26074889420714653,-0.26922816818751544,0.4848
sub-071,CSminus2,39,0.0,0.21979711432243026,-0.22738673904814513,0.0
sub-071,CSplus2,40,0.0,0.15108369727520465,-0.15842972187625448,0.0
sub-071,CSminusUS2,41,0.2103,0.3708624899772041,0.8067340461866848,0.2103
sub-071,CSminus2,42,0.1136,0.30903785705690406,-0.3183477240016518,0.1136
sub-071,CSplus2,43,0.0424,0.1313559459048016,-0.13819696747064114,0.0424
sub-071,CSminusUS2,44,0.216,0.4438081466122557,0.7324606049163551,0.216
sub-071,CSminus2,45,0.0248,0.3691062610784574,-0.37948787553707747,0.0248
sub-071,CSplus2,46,0.0686,0.11460429060553036,-0.12098574959173698,0.0686
sub-071,CSplus2,47,0.0,0.10031888094183347,-0.10627927354606242,0.0
sub-071,CSminus2,48,0.0116,0.30911077272086906,-0.31822420648519545,0.0116
sub-071,CSplus2,49,0.0743,0.08808803973304266,-0.09366078628071034,0.0743
sub-071,CSminusUS2,50,0.205,0.44495515924139545,0.7313724070957025,0.205
sub-071,CSminus2,51,0.0116,0.37085630228888905,-0.38125490199607026,0.0116
sub-071,CSplus2,52,0.0686,0.0775771696869037,-0.08279183645519593,0.0686
sub-071,CSminus2,53,0.0453,0.3111670644470424,-0.32033878477656974,0.0453
sub-071,CSminus2,54,0.2581,0.26264537750351324,-0.2708828305384836,0.2581
sub-071,CSplus2,55,0.2237,0.06851268767266736,-0.07339580264371906,0.2237
sub-071,CSminusUS2,56,0.5008,0.40737478103545466,0.7696183538431156,0.5008
sub-071,CSplus2,57,0.0356,0.06066966439057461,-0.06524527505960093,0.0356
sub-071,CSminus2,58,0.2143,0.34023280505484416,-0.3501031107822335,0.2143
sub-071,CSplus2,59,0.0116,0.053862228769246914,-0.05815229434266772,0.0116
sub-071,CSminus2,60,0.0871,0.2860431121891873,-0.2947791797893376,0.0871
sub-071,CSminusUS2,61,0.1706,0.42639106026922535,0.750227682577194,0.1706
sub-071,CSplus2,62,0.0615,0.04793605789154786,-0.05196073398694908,0.0615
sub-071,CSplus2,63,0.0944,0.042762455585660136,-0.046540308295933835,0.0944
sub-071,CSminus2,64,0.0,0.3558165266413538,-0.3659807176866404,0.0
sub-071,CSminus2,65,0.0,0.2989070963805334,-0.30788276102447565,0.0
sub-071,CSplus2,66,0.0111,0.03823365194199406,-0.04178182480299495,0.0111
sub-071,CSminus2,67,0.0,0.25259366778004466,-0.2606617436812213,0.0
sub-071,CSplus2,68,0.0159,0.03425904871569165,-0.0375933976974888,0.0159
sub-071,CSminus2,69,0.0328,0.21460347659428475,-0.22194545672387875,0.0328
sub-204,CSplusUS1,1,1.4034,0.7594284127697544,0.5,1.4034
sub-204,CSplus1,2,0.9459,0.6697169919523441,-0.554676634820775,0.9459
sub-204,CSminus1,3,0.9481,0.6022054280767994,-0.5,0.9481
sub-204,CSplusUS1,4,1.1593,0.7502205645641195,0.5073706746900527,1.1593
sub-204,CSminus1,5,0.1229,0.5346938642012529,-0.44532336517922666,0.1229
sub-204,CSplus1,6,0.9879,0.6620162454923371,-0.5485114423766918,0.9879
sub-204,CSplusUS1,7,1.2491,0.7437340606936803,0.5125666899955122,1.2491
sub-204,CSminus1,8,0.2904,0.4763901485313379,-0.39801740504850847,0.2904
